date,title,slides,reading,main_points,mp_link,opt,assignment,assign_link
2023-11-07,08: Intelligence (Day 1),https://cogs169.s3.us-west-1.amazonaws.com/08_Intelligence.pdf,Textbook: Ch 12.1; Ch 9; Ch 16.4-16.7,MP08,https://docs.google.com/document/d/1Xibifqg3SEscYyDMe8z4OXzfRw5ISdXd93hD7uDnU3U/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_Genetic_Foundations_of_Human_Intelligence.pdf"">Genetic Foundations of Intelligence</a>",RR08A,https://docs.google.com/forms/d/e/1FAIpQLSclwlMmmGZ9A0DyCz84jSnT3iKDx12f83zaPidXeJO7OdJ6QQ/viewform?usp=sf_link
2023-11-09,08: Intelligence (Day 2),,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_fruit_fly_forgets.pdf"">Learning How a Fruit Fly Forgets</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_breastfeeding_IQ.pdf"">Breastfeeding and IQ (abstract and Fig 1)</a>",,,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/08_Genetic_Foundations_of_Human_Intelligence.pdf"">Genetic Foundations of Intelligence</a>",RR08B,https://docs.google.com/forms/d/e/1FAIpQLScdQqSmI9h8JZcwBa0Ep6fxpLDZsYEHiGDsm55e1lUVcnCyoQ/viewform?usp=sf_link
2023-11-14,,,,,,,Project Proposal Due (template provided here; submit on Gradescope) ,https://docs.google.com/document/d/1vTCqVDb9UIcYOSJV15F7Mb4FDtmwIi2CwtcBc8KNSRM/edit?usp=sharing
2023-11-14,Catch up Lecture,,No Reading Assignment,,,—,,
2023-11-16,09: Social Behavior,https://cogs169.s3.us-west-1.amazonaws.com/09_Social_Interaction.pdf,"Textbook: Ch 19; Ch 8; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_fly_social_behavior.pdf"">Fly Social Behavior</a>",,,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_Social_behavior_in_simple_organisms.pdf"">Social behavior in ‘simple’ organisms</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_Social_attachment.pdf"">Social Attachment</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/09_Pair_Bonding.pdf"">Pair Bonding</a>",RR09,https://docs.google.com/forms/d/e/1FAIpQLSdv-3obJpU1aQT7RI-p6taB8ufJEWgXxwVF1Egs_e21pjZgKA/viewform?usp=sf_link
2023-11-21,Proposal Meetings,,,,,,,
2023-11-23,No Class (Thanksgiving!),,,,,,,
2023-11-28,11: Eating & Movement,https://cogs169.s3.us-west-1.amazonaws.com/11_Eating_Movement.pdf,"Textbook: Ch 10.4; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/11_foraging_humans.pdf""> Foraging in humans</a>",MP11,https://docs.google.com/document/d/1s17YVQTq-0J1mHmHNMfaAxBJVrMBXp981mS993116So/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/11_foraging_review.pdf""> Foraging Review</a>; <a href=""https://link.springer.com/article/10.1007/BF01067774"">Foraging Strategies in Flies</a>",RR11,https://docs.google.com/forms/d/e/1FAIpQLSfkBS6x0XQblwSu33j3R2wRNCRYFdxVH3PyRWWQ9rJOYwO9bw/viewform?usp=sf_link
2023-11-30,14: Sexual Selection & Orientation,https://cogs169.s3.us-west-1.amazonaws.com/14_SexualSelection_Orientation.pdf,"Textbook Ch. 17.9; <a href=""https://radiolab.org/podcast/born-way""> Radiolab: Born This Way [75min] </a>",MP14,https://docs.google.com/document/d/1Mjg24Loan6GZCj8S3MhBLtCqzRuAx_Hgg2cRDMOJruc/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/14_Love_on_the_Fly.pdf""> Love on the Fly</a>; <a href=""https://radiolab.org/podcast/seagulls""> Radiolab: The Seagulls [podcast; 40min] </a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/14_male_sexuality.pdf""> X chromosome & Male Sexuality</a>",RR14,https://docs.google.com/forms/d/e/1FAIpQLSevatQ72ljgDYjPwDDgl7sMHAZykCBH02dokyf6qBwoIr3MUg/viewform?usp=sf_link
2023-12-05,13: Fear & Anxiety,https://cogs169.s3.us-west-1.amazonaws.com/13_Fear_Anxiety.pdf,"Textbook: Ch 10.3; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/13_anxiety_BDNF.pdf""> BDNF Polymorphism and Anxiety (mice)</a>",MP13,https://docs.google.com/document/d/1d5jwLpFl1LaBNlXy-Mm6uAlr6pLiXb1ag9H8sEs_2-c/edit?usp=sharing,"<a href=""https://cogs169.s3.us-west-1.amazonaws.com/13_anxiety_gaba.pdf"">GABA & Anxiety</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/13_learning_BDNF.pdf""> BDNF & Learning</a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/13_anxiety_gwas_2019.pdf"">GWAS 2019 </a>; <a href=""https://cogs169.s3.us-west-1.amazonaws.com/13_anxiety_gwas_2020.pdf"">GWAS 2020 </a>",RR13,https://forms.gle/GYn3hVcsyHTNZMJn7
2023-12-07,Student Presentations,,,,,,,
2023-12-08,,,,,,,Final Report + Presentation Due,https://www.gradescope.com/courses/629529
2023-12-12,,,,,,,Final Exam Due,https://www.gradescope.com/courses/629529
2023-12-12,,,,,,,[Extra Credit] Post-course survey,
